Budget,Release Year,Revenue,Title,Starring Actors Popularity
132000000,2014,373552094,Penguins of Madagascar,0.0
140000000,2016,150680864,Gods of Egypt,3059.349575
140000000,2016,183345589,The BFG,444.8299502
117000000,2010,261930431,Knight and Day,7617.086722
95000000,2003,156505388,Lara Croft Tomb Raider: The Cradle of Life,1121.469646
120000000,2011,227817248,The Green Hornet,985.8438707
135000000,2015,532950503,The Revenant,6583.484566
135000000,2015,368871007,Home,1020.042422
100000000,2005,202026112,Fun with Dick and Jane,4454.889045
70000000,1993,255000211,Cliffhanger,1780.496164
94000000,2003,940335536,Finding Nemo,48.27427294
94000000,2003,1118888979,The Lord of the Rings: The Return of the King,3227.219396
130000000,2014,117831631,Pompeii,2164.167434
85000000,2000,183611771,102 Dalmatians,1345.680984
80000000,1998,136159423,Lost in Space,1828.343489
65000000,1991,17218080,Hudson Hawk,834.3400364
82000000,1999,47434430,Man on the Moon,3200.663791
75000000,1996,335062621,The Rock,3259.209878
75000000,1996,816969268,Independence Day,1758.151426
120000000,2012,609016565,Life of Pi,47.42657364
120000000,2012,829000000,The Twilight Saga: Breaking Dawn - Part 2,2452.136256
135000000,2016,245623848,Teenage Mutant Ninja Turtles: Out of the Shadows,2239.564586
84000000,2000,123307945,Nutty Professor II: The Klumps,3008.86414
127000000,2014,349424282,Night at the Museum: Secret of the Tomb,6677.596992
100000000,2006,249288105,Eragon,842.8786331
100000000,2006,170877916,Blood Diamond,4132.625975
100000000,2006,384335608,Happy Feet,4480.140304
72000000,1995,210000000,Braveheart,986.0939917
130000000,2015,519311965,Ant-Man,1792.31466
112000000,2010,237382724,Gulliver's Travels,2294.053596
83000000,2000,59468275,The Flintstones in Viva Rock Vegas,437.7636421
125000000,2014,752100229,The Hunger Games: Mockingjay - Part 1,2778.992165
125000000,2014,362637473,Noah,6417.66676
125000000,2014,477200000,Teenage Mutant Ninja Turtles,1821.618147
85000000,2001,450717150,Ocean's Eleven,2469.64467
80000000,1999,91188905,The Haunting,660.1297795
80000000,1999,176885658,Analyze This,1386.922284
80000000,1999,90874570,Fantasia 2000,23.98827238
