Budget,Release Year,Revenue,Title,Starring Actors Popularity
34000000,1979,210308099,Moonraker,1416.41342
35000000,1980,27107960,Flash Gordon,1443.776921
47000000,1990,103738726,Dick Tracy,1111.755372
80000000,2008,233093859,The Day the Earth Stood Still,3759.225929
80000000,2008,163733697,Four Christmases,1619.457372
80000000,2008,212874442,Bedtime Stories,1845.075183
80000000,2008,178066569,Eagle Eye,1306.787757
80000000,2008,230685453,Get Smart,964.4432223
65000000,2001,117487473,A Knight's Tale,436.1330465
75000000,2006,140175006,Monster House,62.91868209
75000000,2006,42285169,Lady in the Water,634.9809745
48000000,1991,390493908,Robin Hood: Prince of Thieves,1093.762779
57000000,1997,152944660,The Devil's Advocate,1377.220521
68000000,2003,75715436,Dreamcatcher,2913.971146
70000000,2004,57958696,Sky Captain and the World of Tomorrow,1460.351506
70000000,2004,171183863,AVP: Alien vs. Predator,165.352109
70000000,2004,130293714,Man on Fire,2385.464546
70000000,2004,154648887,The Phantom of the Opera,311.0518778
72000000,2005,96889998,Jarhead,824.5191246
62000000,2000,127666415,U-571,1458.87903
55000000,1996,121969216,Executive Decision,396.4417057
55000000,1996,18626419,The Fan,950.4157943
55000000,1996,141047179,Evita,409.7768943
25485000,1970,29548291,Tora! Tora! Tora!,123.7122197
60000000,1999,73648228,Deep Blue Sea,0.0
60000000,1999,66976317,The Messenger: The Story of Joan of Arc,2220.304843
60000000,1999,284600000,The Green Mile,4719.576802
60000000,1999,149705852,The General's Daughter,2009.441225
53000000,1995,157387195,Crimson Tide,1418.930632
80000000,2009,214104620,Public Enemies,5434.037669
80000000,2009,122444772,Surrogates,5821.307298
80000000,2009,53825515,Nine,512.3828235
65000000,2002,172855065,The Santa Clause 2,1871.318831
75000000,2007,527068851,The Simpsons Movie,0.0
75000000,2007,119000410,Charlie Wilson's War,8131.930407
54000000,1996,128769345,The Nutty Professor,1975.213475
72500000,2006,162966177,Talladega Nights: The Ballad of Ricky Bobby,714.4727469
25000000,1970,3052000,Waterloo,1198.034987
70000000,2005,368100420,Hitch,5269.653613
70000000,2005,130358911,Munich,1072.138426
52000000,1995,355237933,Apollo 13,2377.875526
52000000,1995,116112375,Casino,2560.566784
62000000,2001,18720175,3000 Miles to Graceland,3459.798004
