Budget,Revenue,Title,Average Vote,release_date,Release Year,Starring Actors Popularity
8000000,6491240,It's Kind of a Funny Story,6.9,2010/7/6,2010,589.6063952
8000000,18124262,Another Year,7,2010/11/5,2010,135.8149365
8000000,3453043,Wild Target,6.4,2010/6/17,2010,6947.200519
8000000,74952305,Easy A,6.7,2010/9/10,2010,444.3711078
9000000,108782847,The Purge: Anarchy,6.6,2014/7/17,2014,86.00329501
9000000,21571189,Black or White,6.5,2014/9/6,2014,2547.478266
7500000,19000000,The Wave,7.5,2008/3/11,2008,0
2500000,12348905,Escape from the Planet of the Apes,6.3,1971/5/20,1971,108.4678113
6000000,1270522,Donnie Darko,7.7,2001/1/18,2001,994.3971215
6000000,2025238,Novocaine,6,2001/11/23,2001,1571.11404
5000000,15116634,Halloween: The Curse of Michael Myers,5,1995/9/29,1995,205.7678718
8500000,22456509,Baggage Claim,5.6,2013/9/27,2013,398.5743967
8000000,10130000,Prom,5.7,2011/4/29,2011,0
8000000,39187783,50/50,7,2011/9/30,2011,1292.229341
8000000,5634828,Albert Nobbs,6.2,2011/12/21,2011,1290.807632
6500000,1548955,A Home at the End of the World,6.8,2004/7/23,2004,1679.2612
6500000,98410061,Crash,7.2,2004/1/13,2004,1841.931994
6500000,11850214,Layer Cake,7,2004/9/30,2004,0
7500000,26096852,An Education,6.8,2009/10/29,2009,963.9035594
7500000,60722734,(500) Days of Summer,7.2,2009/7/17,2009,1196.220294
8900000,4100000,Heist,5.6,2015/11/13,2015,4174.07365
4000000,3468572,Talk Radio,6.7,1988/12/21,1988,92.99913672
4000000,13008928,They Live,7.1,1988/11/23,1988,48.60719129
2800000,60922980,The Omen,7.2,1976/6/6,1976,229.8904919
5000000,13269963,Lone Star,6.9,1996/6/21,1996,107.9079366
8500000,38697217,Nightcrawler,7.6,2014/10/23,2014,2019.356431
2600000,119500000,Blazing Saddles,7.2,1974/2/7,1974,14.64536438
6500000,2025032,The Work and the Glory II: American Zion,8,2005/10/21,2005,4.817809831
6500000,24793509,Thank You for Smoking,7.1,2005/9/5,2005,690.8817237
7300000,10329747,Harry Brown,6.7,2009/11/11,2009,1232.671641
7700000,1072602,Coriolanus,5.9,2011/2/14,2011,2518.37416
7000000,1100000,Roadside Romeo,6.7,2008/10/24,2008,0
7000000,8900000,Stargate: The Ark of Truth,6.9,2008/3/11,2008,0
7000000,6230276,College,4.8,2008/8/28,2008,0
6000000,18750246,A Mighty Wind,6.6,2003/4/16,2003,0
6000000,2944752,Shattered Glass,6.6,2003/11/14,2003,991.5066067
5000000,3263585,The Sweet Hereafter,6.8,1997/5/14,1997,0
8500000,43528634,The DUFF,6.8,2015/2/20,2015,155.9734121
3500000,34000000,Day of the Dead,6.9,1985/7/19,1985,0
8000000,63464861,Begin Again,7.3,2013/9/7,2013,3198.679532
6500000,13368437,Friends with Money,5.1,2006/9/7,2006,424.7107079
6500000,22889018,The Wind That Shakes the Barley,7.1,2006/5/18,2006,199.4539657
7000000,39462438,Crazy Heart,6.8,2009/12/16,2009,1340.989622
7000000,31430334,A Serious Man,6.6,2009/10/2,2009,0
7000000,1429299,I Hope They Serve Beer in Hell,5.7,2009/9/25,2009,316.8561373
7400000,21817298,Melancholia,7,2011/5/26,2011,3988.760136
6000000,119114517,Fahrenheit 9/11,6.8,2004/6/25,2004,2375.196281
5000000,1980338,Zero Effect,6,1998/1/30,1998,2049.77981
8500000,15861566,The Birth of a Nation,6.5,2016/9/9,2016,425.3535752
8000000,26049082,That Awkward Moment,6.1,2014/1/29,2014,323.1229354
8000000,53086,Aloft,5.1,2014/2/12,2014,1203.934415
3600000,5923044,Evil Dead II,7.6,1987/3/13,1987,74.9842569
7700000,46000000,Yeh Jawaani Hai Deewani,7.2,2013/5/31,2013,0
1800000,9440272,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8,1964/1/29,1964,0
7000000,46488,Ca$h,6,2010/1/1,2010,1014.950304
7000000,8220215,Loose Cannons,7,2010/2/12,2010,0
7000000,453079,The Extra Man,5.9,2010/8/1,2010,406.7406839
7000000,382946,Hesher,6.7,2010/1/22,2010,3677.510322
6000000,27165581,The Protector,6.8,2005/8/11,2005,0
2700000,141000000,Animal House,7,1978/7/27,1978,0
3500000,14000000,Creepshow 2,5.9,1987/5/1,1987,543.1875692
8000000,5659286,Anomalisa,7,2015/12/30,2015,359.0525487
2090000,40000000,Beyond the Valley of the Dolls,6.6,1970/7/17,1970,0
4500000,7011317,Bound,6.9,1996/9/13,1996,38.21426613
6800000,7103838,Incendies,7.9,2010/9/4,2010,0
7000000,6038942,We Need to Talk About Kevin,7.4,2011/9/28,2011,710.2598476
6000000,48027970,The Last King of Scotland,7.4,2006/9/1,2006,865.6187234
6000000,57231524,Madea's Family Reunion,6,2006/2/24,2006,0
2700000,37799643,The Black Stallion,7,1979/10/17,1979,951.3312078
1250000,8500000,Niagara,6.7,1953/1/21,1953,143.0775757
5000000,110000000,Billy Elliot,7.4,2000/5/18,2000,0
5300000,3897799,The Spanish Apartment,7,2002/5/17,2002,273.5118059
6500000,1521261,The Messenger,7.1,2009/11/13,2009,193.4422081
7000000,12400000,The Snow Queen,5.1,2012/10/11,2012,0
7000000,48126384,End of Watch,7.2,2012/9/20,2012,1917.163876
7000000,167221571,Magic Mike,6.1,2012/6/28,2012,1635.910237
6000000,18197398,Daddy Day Camp,4.4,2007/8/8,2007,875.0681017
878000,10462500,Casablanca,7.9,1942/11/26,1942,0
5800000,7000000,Crossover,4.2,2006/9/1,2006,29.59230105
5000000,33616692,Y Tu Mamá También,7.3,2001/6/8,2001,33.86733997
5000000,5476060,Made,6.3,2001/7/13,2001,176.2547717
6900000,44287131,House at the End of the Street,5.6,2012/9/21,2012,549.4011533
6600000,37710610,Jumping the Broom,6,2011/5/6,2011,186.4108652
7000000,1310673,Hard to Be a God,6.7,2013/2/27,2013,0
858000,267447150,Bambi,6.8,1942/8/14,1942,0
6000000,69497,"Surfer, Dude",4.7,2008/9/5,2008,1543.897256
6000000,2899975,The Wackness,6.2,2008/7/3,2008,859.8291609
6000000,44703995,The Wrestler,7.3,2008/9/7,2008,632.7763061
6000000,7518876,Dolphins and Whales: Tribes of the Ocean,8,2008/2/15,2008,373.7588614
2000000,11833696,Bananas,6.7,1971/4/28,1971,0
5000000,368744044,My Big Fat Greek Wedding,6.2,2002/2/22,2002,0
5000000,64282312,Jackass: The Movie,6.1,2002/10/21,2002,0
5000000,38275483,National Lampoon’s Van Wilder,5.9,2002/3/29,2002,232.2064184
5000000,82719885,28 Days Later,7.1,2002/10/31,2002,0
6500000,17693675,Shame,7,2011/10/2,2011,43.13253075
3705538,62548947,The Crying Game,6.9,1992/9/2,1992,0
3000000,29999213,A Nightmare on Elm Street Part 2: Freddy's Revenge,5.7,1985/10/31,1985,0
3000000,20966644,A Room with a View,6.9,1985/12/13,1985,0
4000000,4300000,Four Rooms,6.5,1995/12/9,1995,192.9274642
1800000,6800000,Hang 'em High,6.7,1968/7/31,1968,89.91294001
7000000,14618727,Beyond the Lights,7,2014/9/10,2014,65.65618073
7000000,36433975,Devil's Due,4.4,2014/1/8,2014,7.302575457
6400000,35057696,My Week with Marilyn,6.6,2011/10/17,2011,631.5445049
385907,8394751,Intolerance,7.4,1916/9/4,1916,0
6000000,6670712,City Island,6.9,2009/3/6,2009,448.7202978
2000000,18016290,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,6.6,1972/8/6,1972,45.17090799
5000000,2466444,Wonderland,6.2,2003/10/23,2003,2063.806597
5000000,742898,Party Monster,5.9,2003/9/5,2003,1369.838386
1200000,7000000,The Trouble with Harry,6.9,1955/10/3,1955,0
3000000,19472057,Friday the 13th Part VI: Jason Lives,5.7,1986/8/1,1986,0
1000000,7800000,Sands of Iwo Jima,6.2,1949/12/14,1949,67.89155617
4000000,16491080,Trainspotting,7.8,1996/2/23,1996,14.2030273
4500000,7390108,Requiem for a Dream,7.9,2000/10/27,2000,745.3078467
7000000,573335,Freeheld,7.1,2015/10/2,2015,3639.623857
2000000,18344729,Sleeper,7,1973/12/17,1973,111.0167735
5000000,8203235,The Machinist,7.3,2004/2/9,2004,317.783645
